Sample ID,PID,Name,Polymer type,Polymer class,CU formula,Formula weight(FW),Characteristics of material,Material type,Additives,Reference,Trade name/ Grade/ Manufacturer,Remarks,[proc] Compression,[proc] Shape of Test Piece,Molecular weight,[proc] Extrusion,[proc] Stretching,[proc] Remarks,State after processing,Morphology,Melt flow rate,Mixing / Blending method,[proc] Quenching,Stereoregularity,[proc]  Melt casting,[proc] Annealing,[poly] Reactant,[poly] Type,[poly] Polymn. remarks,Degree of polymerization,[proc] Foaming,[proc] Injection,[proc] As received,[proc] Aging,[proc] Aging and thermal shock testing,[proc] batch foaming,[poly] Mechanism,[poly] Style,[poly] Solvent,[poly] Initiator,[poly] Reference,[poly] Polymer reaction condition,[poly] Prepolymer name,Crosslink density,[poly] Additives,[poly] Condition,[proc] as processed,[proc] Extrusion&Compression,[proc] Electrospinning,[proc] Solvent casting,[proc] Electrospinning&Compression,[poly] Catalyst,[poly] Terminator,[poly] Post-treatment,Type of crystal,Other 1st structure info,Crystallinity,log10(thermal_con),thermal_con,[thermal_con] method,[thermal_con] condition,[thermal_con] temp,[thermal_con] remarks,thickness_raw,thickness,log10(thickness)
15201-7-1-2,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,linear,Composite,copper particles; vol%; 30,"Agari, Yasuyuki; Shimada, Masayuki; Ueda, Akira , Netsu Bussei , 9 , 1 , 17-23 (1995)",,copper particle size = 120 micro meter,,Disk,Unknown=5000,,,"Diam. = 50mm, t = 5mm",,,,polyethylene melt-mixed with copper particles at 453K for 10min,,,Shape of Test Piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4069215108699848,2.55224,Steady state comparison method,"323 [K] ,  Sample thickness 0.4-1.0mm",50.0,Taken from the Fig.,"Diam. = 50mm, t = 5mm",0.005,-2.3010299956639813
20574-2-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic,Heat conductive,Crystal",Composite,Al powder; vol.%; 10,"Tavman, I. H. , Journal of Applied Polymer Science , 62 , 12 , 2161-2167 (1996)",,"HDPE;commercial powder product (d. 0.968g/cm3, MI 5.8g/10min),     Al powder; approximately spherical(40-80micrometer), d. 2.7g/cm3","185C,4MPa,20min",Block,,,,100x50x17mm,,,,Powder mixing in a tumble mixer (20min),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0506099933550872,0.89,Modified hot wire method,20 [C],20.0,Taken from the Fig.,100x50x17mm,0.017,-1.7695510786217261
20574-3-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic,Heat conductive,Crystal",Composite,Al powder; vol.%; 20,"Tavman, I. H. , Journal of Applied Polymer Science , 62 , 12 , 2161-2167 (1996)",,"HDPE;commercial powder product (d. 0.968g/cm3, MI 5.8g/10min),     Al powder; approximately spherical(40-80micrometer), d. 2.7g/cm3","185C,4MPa,20min",Block,,,,100x50x17mm,,,,Powder mixing in a tumble mixer (20min),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255272505103306,1.8,Modified hot wire method,20 [C],20.0,Taken from the Fig.,100x50x17mm,0.017,-1.7695510786217261
20574-4-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic,Heat conductive,Crystal",Composite,Al powder; vol.%; 30,"Tavman, I. H. , Journal of Applied Polymer Science , 62 , 12 , 2161-2167 (1996)",,"HDPE;commercial powder product (d. 0.968g/cm3, MI 5.8g/10min),     Al powder; approximately spherical(40-80micrometer), d. 2.7g/cm3","185C,4MPa,20min",Block,,,,100x50x17mm,,,,Powder mixing in a tumble mixer (20min),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5158738437116791,3.28,Modified hot wire method,20 [C],20.0,Taken from the Fig.,100x50x17mm,0.017,-1.7695510786217261
21101-5-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Crystal",Composite,Filler;glass fiber;wt%;20,"Lobo, Hubert; Cohen, Claude , Polymer Engineering and Science , 30 , 2 , 65-70 (1990)",PRO-FAX/ 6323/ Himont,,,,,,,,Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7958800173440752,0.16,Line-source method,200 [C],200.0,Taken from the Fig.,,,
21101-6-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Crystal",Composite,Filler;glass fiber;wt%;40,"Lobo, Hubert; Cohen, Claude , Polymer Engineering and Science , 30 , 2 , 65-70 (1990)",PRO-FAX/ 6323/ Himont,,,,,,,,Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.744727494896694,0.18,Line-source method,200 [C],200.0,Taken from the Fig.,,,
21101-7-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,"linear,Amorphous",Composite,Filler;glass fiber;wt%;20,"Lobo, Hubert; Cohen, Claude , Polymer Engineering and Science , 30 , 2 , 65-70 (1990)",Styron/ 678D/ Dow Chem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7166987712964504,0.192,Line-source method,210 [C],210.0,Taken from the Fig.,,,
21101-8-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,"linear,Amorphous",Composite,Filler;glass fiber;wt%;30,"Lobo, Hubert; Cohen, Claude , Polymer Engineering and Science , 30 , 2 , 65-70 (1990)",Styron/ 678D/ Dow Chem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7033348097384688,0.198,Line-source method,210 [C],210.0,Taken from the Fig.,,,
22428-2-1-1,P070013,poly(ethylene oxide),Homopolymer,Polyoxides/ethers/acetals,C2H4O,44.05,"linear,Thermoplastic",Composite,High-temp. superconductor (HTSC);vol%;10,"Dhami, A. K.; Chattopadhyay, M. K.; Dey, T. K. , Journal of Superconductivity , 13 , 3 , 417-422 (2000)",,"(HTSC) (Bi,Pb)2223;CAN superconductors, Czech. Republic",Compressed at 70C for 30min in cylindrical mold,Pellet,,,,,,Nonspherical and irregular shape of Bi-2223 grains (2-10micron) uniformly and isolatedly distributed in polymer matrix,,PEG powder/HTSC powder mechanically mixed at 70C for 30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3279021420642826,0.47,Steady-state axial heat flow method,"ca 300 [K] , <1E(-6)Torr",27.0,Taken from the Fig.3,,,
22428-3-1-1,P070013,poly(ethylene oxide),Homopolymer,Polyoxides/ethers/acetals,C2H4O,44.05,"linear,Thermoplastic",Composite,High-temp. superconductor (HTSC);vol%;20,"Dhami, A. K.; Chattopadhyay, M. K.; Dey, T. K. , Journal of Superconductivity , 13 , 3 , 417-422 (2000)",,"(HTSC) (Bi,Pb)2223;CAN superconductors, Czech. Republic",Compressed at 70C for 30min in cylindrical mold,Pellet,,,,,,Nonspherical and irregular shape of Bi-2223 grains (2-10micron) uniformly and closely distributed in polymer matrix,,PEG powder/HTSC powder mechanically mixed at 70C for 30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2441251443275086,0.57,Steady-state axial heat flow method,"ca 300 [K] , <1E(-6)Torr",27.0,Taken from the Fig.3,,,
22428-4-1-1,P070013,poly(ethylene oxide),Homopolymer,Polyoxides/ethers/acetals,C2H4O,44.05,"linear,Thermoplastic",Composite,High-temp. superconductor (HTSC);vol%;44,"Dhami, A. K.; Chattopadhyay, M. K.; Dey, T. K. , Journal of Superconductivity , 13 , 3 , 417-422 (2000)",,"(HTSC) (Bi,Pb)2223;CAN superconductors, Czech. Republic",Compressed at 70C for 30min in cylindrical mold,Pellet,,,,,,Nonspherical and irregular shape of Bi-2223 grains (2-10micron) agglomerated and formed intergrain contacts in polymer matrix,,PEG powder/HTSC powder mechanically mixed at 70C for 30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0705810742857072,0.85,Steady-state axial heat flow method,"ca 300 [K] , <1E(-6)Torr",27.0,Taken from the Fig.3,,,
23014-2-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Crystal",Composite,talc;wt%;10,"Jung, W. D.; Morikawa, J.; Hashimoto, T. , Journal of Thermal Analysis and Calorimetry , 64 , 2 , 509-519 (2001)",/ HY100G/ Sumitomo Chem. Co.,"talc(JR-37,density=2.7g/cm3)","180C,100kg/cm2",Film,,,,,,,,Blended in twin screw extruder,,,,Annealed at 175C for 30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.453457336521869,0.352,Temperature wave analysis method,40 [C],40.0,,,,
23014-3-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Crystal",Composite,talc;wt%;20,"Jung, W. D.; Morikawa, J.; Hashimoto, T. , Journal of Thermal Analysis and Calorimetry , 64 , 2 , 509-519 (2001)",/ HY100G/ Sumitomo Chem. Co.,"talc(JR-37,density=2.7g/cm3)","180C,100kg/cm2",Film,,,,,,,,Blended in twin screw extruder,,,,Annealed at 175C for 30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4400933749638875,0.363,Temperature wave analysis method,40 [C],40.0,,,,
23014-4-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Crystal",Composite,talc;wt%;30,"Jung, W. D.; Morikawa, J.; Hashimoto, T. , Journal of Thermal Analysis and Calorimetry , 64 , 2 , 509-519 (2001)",/ HY100G/ Sumitomo Chem. Co.,"talc(JR-37,density=2.7g/cm3)","180C,100kg/cm2",Film,,,,,,,,Blended in twin screw extruder,,,,Annealed at 175C for 30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4179366370882912,0.382,Temperature wave analysis method,40 [C],40.0,,,,
23402-10-1-1,P100004,poly(hexano-6-lactam),Homopolymer,Polyamides/thioamides,C6H11NO,113.16,"linear,Flame-retardant",Composite,montmorillonite aluminum silicate nano filler,"Isa, Ismat A. Abu; Jodeh, Shehdeh W. , Materials Research Innovations , 4 ,  2/3 , 135-143 (2001)",,"Nano-composite found to exhibit fire retardancy characteristics, obtained through National Institute of Standards and Technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7958800173440752,0.16,Modulated DSC,"30 [C] ,  Measured in N2",30.0,,,,
24934-2-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic",Composite,glass fiber (GF);wt%;30,"Murata, Yasuhiko; Abe, Satoshi; Yokoi, Hidetoshi , Seikei Kako , 14 , 4 , 257-264 (2002)",,"(PP) Grandpolypro;J700;Grandpolymer Co., (GF) Nihon Denki Glass Co., d=24micron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6108339156354675,0.245,Thermal cond. meter,ca 190 [C],190.0,Taken from the Fig.7,,,
24934-4-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic",Composite,glass fiber (GF);wt%;30,"Murata, Yasuhiko; Abe, Satoshi; Yokoi, Hidetoshi , Seikei Kako , 14 , 4 , 257-264 (2002)",,"(PP) Hipol;J300;Mitsui Petrochem. Co., (GF) Nihon Denki Glass Co., d=24micron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6108339156354675,0.245,Thermal cond. meter,ca 190 [C],190.0,Taken from the Fig.7,,,
26287-2-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,linear,Composite,gamma-Al2O3 nanoparticles;wt%;10,"Putnam, Shawn A.; Cahill, David G.; Ash, Benjamin J.; Schadler, Linda S. , Journal of Applied Physics , 94 , 10 , 6785-6788 (2003)",,,"Compression molded at 180C and 2.5 mton, then allowed to cool at RT under pressure for 6h",,"Mn=150000, Mw/Mn=1.5",,,,,,,,,,,,methyl methacrylate,addition,gamma-Al2O3 nanoparticles dispersed in methylmethacrylate monomer by sonication and subjected to polymerization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8728952016351923,0.134,3 omega method,ca 80 [K],-193.0,Taken from the Fig.,,,
26874-2-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,Al powder;wt%;5,"Kazeminejad, H. , Journal of Applied Polymer Science , 88 , 12 , 2823-2827 (2003)",,,Using a Collin press,Film,,,,2mm thick 14cm square,,,,PE with the addition of Al powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4271283977995198,0.374,Using thin copper foil heater for measuring,5.0V 1.32A,,,2mm thick 14cm square,0.14,-0.8538719643217619
26874-3-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,Al powder;wt%;20,"Kazeminejad, H. , Journal of Applied Polymer Science , 88 , 12 , 2823-2827 (2003)",,,Using a Collin press,Film,,,,2mm thick 14cm square,,,,PE with the addition of Al powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3555614105321614,0.441,Using thin copper foil heater for measuring,5.0V 1.32A,,,2mm thick 14cm square,0.14,-0.8538719643217619
26874-4-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,Al powder;wt%;35,"Kazeminejad, H. , Journal of Applied Polymer Science , 88 , 12 , 2823-2827 (2003)",,,Using a Collin press,Film,,,,2mm thick 14cm square,,,,PE with the addition of Al powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2890368810047242,0.514,Using thin copper foil heater for measuring,5.0V 1.31A,,,2mm thick 14cm square,0.14,-0.8538719643217619
26874-5-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,CB;wt%;35,"Kazeminejad, H. , Journal of Applied Polymer Science , 88 , 12 , 2823-2827 (2003)",,CB=carbon black,Using a Collin press,Film,,,,2mm thick 14cm square,,,,PE with the addition of CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.348721986001856,0.448,Using thin copper foil heater for measuring,5.0V 1.32A,,,2mm thick 14cm square,0.14,-0.8538719643217619
26874-7-1-1,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,"linear,Thermoplastic",Composite,CB;wt%;35,"Kazeminejad, H. , Journal of Applied Polymer Science , 88 , 12 , 2823-2827 (2003)",,CB=carbon black,Using a Collin press,Film,,,,2mm thick 14cm square,,,,PE with the addition of CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5376020021010439,0.29,Using thin copper foil heater for measuring,5.0V 1.31A,,,2mm thick 14cm square,0.14,-0.8538719643217619
27161-1-1-1,P050002,poly(vinyl chloride),Homopolymer,"Polyvinyls, Polyhalo-olefins",C2H3Cl,62.5,"linear,Thermoplastic",Composite,DOP;ml/20gPVC;15 PSE-227;g/20gPVC ;0.6 azodicarbonamide;g/20gPVC;0.6,"Otsuki, Toshi; Yamashita, Masatada; Zhang, Farao; Kabeya, Hiroshi; Hirotsu, Takahiro , Transactions of the Materials Research Society of Japan , 27 , 3 , 621-624 (2002)",,"PVC powder was obtained from Wako Pure Chemical Ind., Ltd.; DOP=dioctyl phthalate; PSE-227=BA-Zn-fatty acid compound",,Foamed sheet,,,,200*200*ca.12mm,,,,"PVC, DOP, PSE-227 and azodicarbonamide were mixed",,,,,,,,"1100(Supplyer's data,)",At 200C for 15min,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.055517327849831,0.088,Probe method,,,,200*200*ca.12mm,0.012,-1.9208187539523751
27161-2-1-1,P050002,poly(vinyl chloride),Homopolymer,"Polyvinyls, Polyhalo-olefins",C2H3Cl,62.5,"linear,Thermoplastic",Composite,Chlorella;g/20gPVC;10 DOP;ml/20gPVC;15 PSE-227;g/20gPVC ;0.6 azodicarbonamide;g/20gPVC;0.6,"Otsuki, Toshi; Yamashita, Masatada; Zhang, Farao; Kabeya, Hiroshi; Hirotsu, Takahiro , Transactions of the Materials Research Society of Japan , 27 , 3 , 621-624 (2002)",,"PVC powder was obtained from Wako Pure Chemical Ind., Ltd.; DOP=dioctyl phthalate; PSE-227=BA-Zn-fatty acid compound",,Foamed sheet,,,,200*200*ca.20mm,,,,"PVC, Chlorella, DOP, PSE-227 and azodicarbonamide were mixed",,,,,,,,"1100(Supplyer's data,)",At 200C for 15min,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.193820026016113,0.064,Heat flow meter method,19.6 [C],19.6,,200*200*ca.20mm,0.02,-1.6989700043360187
28720-2-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Crystal",Composite,magnetite;vol%;15," Applied Science and Manufacturing ,  35A , 4 , 423-429 (2004)",,"[PP] supplied by Minelco B.V. (The Netherlands), [magnetite] Fe3O4, mean particle diameter;9micron, shape;irregular, thermal cond.;5.10W/(m*K), d.;5.10g/cm3",,Rod,,,,"d=10mm, l=130mm",,,,Melt mixed in extruder,,,,,,,,,,"200C, 20C (mold temp.), 60MPa",,,,,,,,,,,,,,,,,,,,,,,,,,-0.1249387366082999,0.75,Transient method closely related to laser flash technique,23 [C],23.0,"RT, taken from the Fig.1","d=10mm, l=130mm",0.13,-0.8860566476931632
28720-3-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Crystal",Composite,magnetite;vol%;30," Applied Science and Manufacturing ,  35A , 4 , 423-429 (2004)",,"[PP] supplied by Minelco B.V. (The Netherlands), [magnetite] Fe3O4, mean particle diameter;9micron, shape;irregular, thermal cond.;5.10W/(m*K), d.;5.10g/cm3",,Rod,,,,"d=10mm, l=130mm",,,,Melt mixed in extruder,,,,,,,,,,"200C, 20C (mold temp.), 60MPa",,,,,,,,,,,,,,,,,,,,,,,,,,-0.0457574905606751,0.9,Transient method closely related to laser flash technique,23 [C],23.0,"RT, taken from the Fig.1","d=10mm, l=130mm",0.13,-0.8860566476931632
28720-5-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Crystal",Composite,barite;vol%;30," Applied Science and Manufacturing ,  35A , 4 , 423-429 (2004)",,"[PP] supplied by Minelco B.V. (The Netherlands), [barite] BaSO4, mean particle diameter;1.5micron, shape;irregular, thermal cond.;1.72W/(m*K), d.;4.48g/cm3",,Rod,,,,"d=10mm, l=130mm",,,,Melt mixed in extruder,,,,,,,,,,"200C, 20C (mold temp.), 60MPa",,,,,,,,,,,,,,,,,,,,,,,,,,-0.3098039199714863,0.49,Transient method closely related to laser flash technique,23 [C],23.0,"RT, taken from the Fig.1","d=10mm, l=130mm",0.13,-0.8860566476931632
28720-6-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Crystal",Composite,talc;vol%;15," Applied Science and Manufacturing ,  35A , 4 , 423-429 (2004)",,"[PP] supplied by Minelco B.V. (The Netherlands), [talc] Mg3[Si4O10][OH]2, mean particle diameter;2.0micron, shape;platelet, thermal cond.;10.69W/(m*K), d.;2.78g/cm3",,Rod,,,,"d=10mm, l=130mm",,,,Melt mixed in extruder,,,,,,,,,,"200C, 20C (mold temp.), 60MPa",,,,,,,,,,,,,,,,,,,,,,,,,,0.1702617153949573,1.48,Transient method closely related to laser flash technique,23 [C],23.0,"RT, taken from the Fig.1","d=10mm, l=130mm",0.13,-0.8860566476931632
28720-7-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Crystal",Composite,talc;vol%;30," Applied Science and Manufacturing ,  35A , 4 , 423-429 (2004)",,"[PP] supplied by Minelco B.V. (The Netherlands), [talc] Mg3[Si4O10][OH]2, mean particle diameter;2.0micron, shape;platelet, thermal cond.;10.69W/(m*K), d.;2.78g/cm3",,Rod,,,,"d=10mm, l=130mm",,,,Melt mixed in extruder,,,,,,,,,,"200C, 20C (mold temp.), 60MPa",,,,,,,,,,,,,,,,,,,,,,,,,,0.3979400086720376,2.5,Transient method closely related to laser flash technique,23 [C],23.0,"RT, taken from the Fig.1","d=10mm, l=130mm",0.13,-0.8860566476931632
28720-8-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Crystal",Composite,strontium ferrite;vol%;30," Applied Science and Manufacturing ,  35A , 4 , 423-429 (2004)",,"[PP] supplied by Minelco B.V. (The Netherlands), [strontium ferrite] SrFe12O19, mean particle diameter;1.5micron, thermal cond.;>3W/(m*K), d.;5.11g/cm3",,Rod,,,,"d=10mm, l=130mm",,,,Melt mixed in extruder,,,,,,,,,,"200C, 20C (mold temp.), 60MPa",,,,,,,,,,,,,,,,,,,,,,,,,,-0.1079053973095195,0.78,Transient method closely related to laser flash technique,23 [C],23.0,"RT, taken from the Fig.1","d=10mm, l=130mm",0.13,-0.8860566476931632
28720-9-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Crystal",Composite,Cu;vol%;15," Applied Science and Manufacturing ,  35A , 4 , 423-429 (2004)",,"[PP] supplied by Minelco B.V. (The Netherlands), [Cu] mean particle diameter;15micron, shape;irregular, thermal cond.;401W/(m*K), d.;8.94g/cm3",,Rod,,,,"d=10mm, l=130mm",,,,Melt mixed in extruder,,,,,,,,,,"200C, 20C (mold temp.), 60MPa",,,,,,,,,,,,,,,,,,,,,,,,,,-0.1079053973095195,0.78,Transient method closely related to laser flash technique,23 [C],23.0,"RT, taken from the Fig.1","d=10mm, l=130mm",0.13,-0.8860566476931632
28720-10-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Crystal",Composite,Cu;vol%;30," Applied Science and Manufacturing ,  35A , 4 , 423-429 (2004)",,"[PP] supplied by Minelco B.V. (The Netherlands), [Cu] mean particle diameter;15micron, shape;irregular, thermal cond.;401W/(m*K), d.;8.94g/cm3",,Rod,,,,"d=10mm, l=130mm",,,,Melt mixed in extruder,,,,,,,,,,"200C, 20C (mold temp.), 60MPa",,,,,,,,,,,,,,,,,,,,,,,,,,0.0969100130080564,1.25,Transient method closely related to laser flash technique,23 [C],23.0,"RT, taken from the Fig.1","d=10mm, l=130mm",0.13,-0.8860566476931632
28720-11-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Crystal",Composite,glass fiber;vol%;30," Applied Science and Manufacturing ,  35A , 4 , 423-429 (2004)",,"[PP] supplied by Minelco B.V. (The Netherlands), [glass fiber] mean particle diameter;11micron, shape;fiber, thermal cond.;1.5W/(m*K), d.;2.58g/cm3",,Rod,,,,"d=10mm, l=130mm",,,,Melt mixed in extruder,,,,,,,,,,"200C, 20C (mold temp.), 60MPa",,,,,,,,,,,,,,,,,,,,,,,,,,-0.2676062401770314,0.54,Transient method closely related to laser flash technique,23 [C],23.0,"RT, taken from the Fig.1","d=10mm, l=130mm",0.13,-0.8860566476931632
28774-2-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic,Crystal",Composite,Al particle;wt%;15,"Lopes, Cristina M. A.; Felisberti, Maria Isabel , Polymer Testing , 23 , 6 , 637-643 (2004)",,"Particulate Al (particle size;ca.100micron) dispersed in LDPE matrix, obtained from recycled packaging",,Disk,,,,"(Thermal cond.) d=6mm, t=3mm, (Cp) d=6mm, t=0.4mm",,,,,,,,,,,,,,Shape of Test Piece,,,,,,,,,,,,,,,,,,,,,,,,,,-0.619788758288394,0.24,Modulated DSC,20 [C],20.0,,"(Thermal cond.) d=6mm, t=3mm, (Cp) d=6mm, t=0.4mm",0.003,-2.5228787452803374
29169-2-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Flame-retardant",Composite,Multi-walled carbon nanotube (MWNT);wt%;2,"Kashiwagi, Takashi; Grulke, Eric; Hilding, Jenny; Groth, Katrina; Harris, Richard; Butler, Kathryn; Shields, John; Kharchenko, Semen; Douglas, Jack , Polymer , 45 , 12 , 4227-4239 (2004)",,"(PP) 6331;Montell Polyolefins, (MWNT) prepared from xylene as carbon source at ca.675C using ferrocene as catalyst","190C, 6 metric ton",Disk,,,,"d=75mm, t=8mm",,,,"Mixed in Haake PolyLab shear mixer at 180C, 20rpm for 30min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6289321377282637,0.235,Thermoflixer (line-source method),ca 165 [C],165.0,Taken from the Fig.9,"d=75mm, t=8mm",0.008,-2.0969100130080562
29169-3-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Flame-retardant",Composite,Multi-walled carbon nanotube (MWNT);wt%;5,"Kashiwagi, Takashi; Grulke, Eric; Hilding, Jenny; Groth, Katrina; Harris, Richard; Butler, Kathryn; Shields, John; Kharchenko, Semen; Douglas, Jack , Polymer , 45 , 12 , 4227-4239 (2004)",,"(PP) 6331;Montell Polyolefins, (MWNT) prepared from xylene as carbon source at ca.675C using ferrocene as catalyst","190C, 6 metric ton",Disk,,,,"d=75mm, t=8mm",,,,"Mixed in Haake PolyLab shear mixer at 180C, 20rpm for 30min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5767541260631921,0.265,Thermoflixer (line-source method),ca 165 [C],165.0,Taken from the Fig.9,"d=75mm, t=8mm",0.008,-2.0969100130080562
29169-4-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Flame-retardant",Composite,Multi-walled carbon nanotube (MWNT);wt%;10,"Kashiwagi, Takashi; Grulke, Eric; Hilding, Jenny; Groth, Katrina; Harris, Richard; Butler, Kathryn; Shields, John; Kharchenko, Semen; Douglas, Jack , Polymer , 45 , 12 , 4227-4239 (2004)",,"(PP) 6331;Montell Polyolefins, (MWNT) prepared from xylene as carbon source at ca.675C using ferrocene as catalyst","190C, 6 metric ton",Disk,,,,"d=75mm, t=8mm",,,,"Mixed in Haake PolyLab shear mixer at 180C, 20rpm for 30min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5157001606532142,0.305,Thermoflixer (line-source method),ca 165 [C],165.0,Taken from the Fig.9,"d=75mm, t=8mm",0.008,-2.0969100130080562
29169-5-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic,Flame-retardant",Composite,Multi-walled carbon nanotube (MWNT);wt%;15,"Kashiwagi, Takashi; Grulke, Eric; Hilding, Jenny; Groth, Katrina; Harris, Richard; Butler, Kathryn; Shields, John; Kharchenko, Semen; Douglas, Jack , Polymer , 45 , 12 , 4227-4239 (2004)",,"(PP) 6331;Montell Polyolefins, (MWNT) prepared from xylene as carbon source at ca.675C using ferrocene as catalyst","190C, 6 metric ton",Disk,,,,"d=75mm, t=8mm",,,,"Mixed in Haake PolyLab shear mixer at 180C, 20rpm for 30min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3767507096020995,0.42,Thermoflixer (line-source method),ca 165 [C],165.0,Taken from the Fig.9,"d=75mm, t=8mm",0.008,-2.0969100130080562
