Sample ID,PID,Name,Polymer type,Polymer class,CU formula,Formula weight(FW),Trade name/ Grade/ Manufacturer,Characteristics of material,Material type,Additives,[proc] Compression,[proc] Shape of Test Piece,[proc] Remarks,Reference,Sequence info,Remarks,Mixing / Blending method,State after processing,Molecular weight,Stereoregularity,[proc] Quenching,Melt flow rate,[proc] Extrusion,[proc] Solvent casting,[poly] Reactant,[poly] Type,[poly] Style,[proc] Aging,[proc] Injection,[poly] Mechanism,[poly] Initiator,[poly] Additives,[poly] Condition,[poly] Post-treatment,[poly] Polymn. remarks,[proc] Heating-cooling cycle,[poly] Solvent,[poly] Reference,[proc] Spinning,[proc] Solvent casting & Compression,[proc] Solvent casting&Reaction molding,Morphology,Type of crystal,[proc] Heat-treatment,[proc] Stretching,[proc] Quenching&Annealing,[proc] Annealing,[proc] Annealing&Cooling,[proc] Electrospinning,[proc] Solvent casting&Compression,[proc] Annealing&single shear deformation,[proc] Annealing&double shear deformation,[proc] Gelation/crystn. from dil. soln.,Crystallinity,[proc] Annealing&Shear deformation,[proc] Dip coating,Other 1st structure info,[poly] Catalyst,[poly] Terminator,[proc] Microinjection-compression,[proc] Microinjection,[proc] as processed,[proc] Spin coating,[proc] Coating,[poly] Prepolymer name,[poly] Polymer reaction condition,[proc] Soln. blow spinning,Doping agent,Branch/crosslink info,[proc] Crystallization,[proc] Bulk foaming,[proc] Sulfonation,[proc] spin coating,[proc] sintering,[proc] Thermal treatment,Method,Condition,Related Info.,elecon,log10(elecon),[elecon] condition,[elecon] remarks,[elecon] method,[elecon] temp,thickness_raw,thickness,log10(thickness)
37410-2-1-5,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,,"linear,Thermoplastic",Composite,multiwalled carbon nanotube(MWNT);wt%;2,,,,"Alig, Ingo; Lellinger, Dirk; Dudkin, Sergej M.; Poetschke, Petra , Polymer , 48 , 4 , 1020-1029 (2007)",,"[PP]Moplen HF500N obtained from Basell Polyolefins, [multiwalled carbon nanotube(MWNT)]supplied as a PP masterbatch containing 20wt% MWNT from Hyperion Catalysis International Inc.(USA), MWNT produced by chemical vapour deposition(CVD), d=10nm, l=ca.10micron, aspect ratio=ca.1000","PP and MWNT masterbatch blended in extruder at 200-220C, 250rpm and 10kg/h",,,,,,extruded via single screw extruder at 220C and 40rpm,,,,,,,,,,,,,,,,,,,,,,,,,"annealed at ca.220C(225-210C) for 1200s(1200s after the extruder stopped), then cooled from 180C to 120C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014,-2.853871964321762,"180 [C] , measured by slit die equipped with dielectric sensor attached at the outlet of the extruder, 1kHz, during cooling from 180C to 120C","ac conductivity, taken from the Fig.9, drastic decrease[from ca.1.4E(-3) to ca.3E(-5)] observed at ca.140C because of crystallization of sample",LCR bridge,180.0,,,
37410-3-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,,"linear,Thermoplastic",Composite,multiwalled carbon nanotube(MWNT);wt%;3.5,compressed at 220C and 10bar for 1min on plates after holding at 220C for 3min in the press,Film,t=0.35mm,"Alig, Ingo; Lellinger, Dirk; Dudkin, Sergej M.; Poetschke, Petra , Polymer , 48 , 4 , 1020-1029 (2007)",,"[PP]Moplen HF500N obtained from Basell Polyolefins, [multiwalled carbon nanotube(MWNT)]supplied as a PP masterbatch containing 20wt% MWNT from Hyperion Catalysis International Inc.(USA), MWNT produced by chemical vapour deposition(CVD), d=10nm, l=ca.10micron, aspect ratio=ca.1000","PP and MWNT masterbatch blended in extruder at 200-220C, 250rpm and 10kg/h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00053,-3.275724130399211,23 [C],"RT, dc conductivity",electrometer,23.0,t=0.35mm,0.00035,-3.4559319556497243
37410-3-1-2,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,,"linear,Thermoplastic",Composite,multiwalled carbon nanotube(MWNT);wt%;3.5,,,,"Alig, Ingo; Lellinger, Dirk; Dudkin, Sergej M.; Poetschke, Petra , Polymer , 48 , 4 , 1020-1029 (2007)",,"[PP]Moplen HF500N obtained from Basell Polyolefins, [multiwalled carbon nanotube(MWNT)]supplied as a PP masterbatch containing 20wt% MWNT from Hyperion Catalysis International Inc.(USA), MWNT produced by chemical vapour deposition(CVD), d=10nm, l=ca.10micron, aspect ratio=ca.1000","PP and MWNT masterbatch blended in extruder at 200-220C, 250rpm and 10kg/h",,,,,,extruded via single screw extruder at 220C and 40rpm,,,,,,,,,,,,,,,,,,,,,,,,annealed at ca.220C(225-210C) for 120s(120s after the extruder stopped),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e-06,-5.3979400086720375,"ca 225 [C] , measured by slit die equipped with dielectric sensor attached at the outlet of the extruder, 1kHz","ac conductivity, taken from the Fig.4",LCR bridge,225.0,,,
37410-3-1-3,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,,"linear,Thermoplastic",Composite,multiwalled carbon nanotube(MWNT);wt%;3.5,,,,"Alig, Ingo; Lellinger, Dirk; Dudkin, Sergej M.; Poetschke, Petra , Polymer , 48 , 4 , 1020-1029 (2007)",,"[PP]Moplen HF500N obtained from Basell Polyolefins, [multiwalled carbon nanotube(MWNT)]supplied as a PP masterbatch containing 20wt% MWNT from Hyperion Catalysis International Inc.(USA), MWNT produced by chemical vapour deposition(CVD), d=10nm, l=ca.10micron, aspect ratio=ca.1000","PP and MWNT masterbatch blended in extruder at 200-220C, 250rpm and 10kg/h",,,,,,extruded via single screw extruder at 220C and 40rpm,,,,,,,,,,,,,,,,,,,,,,,,annealed at ca.220C(225-210C) for 1200s(1200s after the extruder stopped),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e-06,-5.154901959985743,"ca 225 [C] , measured by slit die equipped with dielectric sensor attached at the outlet of the extruder, 1kHz","ac conductivity, taken from the Fig.4",LCR bridge,225.0,,,
37410-4-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,,"linear,Thermoplastic",Composite,multiwalled carbon nanotube(MWNT);wt%;5,compressed at 220C and 10bar for 1min on plates after holding at 220C for 3min in the press,Film,t=0.35mm,"Alig, Ingo; Lellinger, Dirk; Dudkin, Sergej M.; Poetschke, Petra , Polymer , 48 , 4 , 1020-1029 (2007)",,"[PP]Moplen HF500N obtained from Basell Polyolefins, [multiwalled carbon nanotube(MWNT)]supplied as a PP masterbatch containing 20wt% MWNT from Hyperion Catalysis International Inc.(USA), MWNT produced by chemical vapour deposition(CVD), d=10nm, l=ca.10micron, aspect ratio=ca.1000","PP and MWNT masterbatch blended in extruder at 200-220C, 250rpm and 10kg/h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0041,-2.3872161432802645,23 [C],"RT, dc conductivity",electrometer,23.0,t=0.35mm,0.00035,-3.4559319556497243
37410-4-1-2,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,,"linear,Thermoplastic",Composite,multiwalled carbon nanotube(MWNT);wt%;5,,,,"Alig, Ingo; Lellinger, Dirk; Dudkin, Sergej M.; Poetschke, Petra , Polymer , 48 , 4 , 1020-1029 (2007)",,"[PP]Moplen HF500N obtained from Basell Polyolefins, [multiwalled carbon nanotube(MWNT)]supplied as a PP masterbatch containing 20wt% MWNT from Hyperion Catalysis International Inc.(USA), MWNT produced by chemical vapour deposition(CVD), d=10nm, l=ca.10micron, aspect ratio=ca.1000","PP and MWNT masterbatch blended in extruder at 200-220C, 250rpm and 10kg/h",,,,,,extruded via single screw extruder at 220C and 40rpm,,,,,,,,,,,,,,,,,,,,,,,,annealed at ca.220C(225-210C) for 120s(120s after the extruder stopped),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,-2.5228787452803374,"ca 225 [C] , measured by slit die equipped with dielectric sensor attached at the outlet of the extruder, 1kHz","ac conductivity, taken from the Fig.4",LCR bridge,225.0,,,
37410-4-1-3,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,,"linear,Thermoplastic",Composite,multiwalled carbon nanotube(MWNT);wt%;5,,,,"Alig, Ingo; Lellinger, Dirk; Dudkin, Sergej M.; Poetschke, Petra , Polymer , 48 , 4 , 1020-1029 (2007)",,"[PP]Moplen HF500N obtained from Basell Polyolefins, [multiwalled carbon nanotube(MWNT)]supplied as a PP masterbatch containing 20wt% MWNT from Hyperion Catalysis International Inc.(USA), MWNT produced by chemical vapour deposition(CVD), d=10nm, l=ca.10micron, aspect ratio=ca.1000","PP and MWNT masterbatch blended in extruder at 200-220C, 250rpm and 10kg/h",,,,,,extruded via single screw extruder at 220C and 40rpm,,,,,,,,,,,,,,,,,,,,,,,,annealed at ca.220C(225-210C) for 1200s(1200s after the extruder stopped),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,-2.5228787452803374,"ca 225 [C] , measured by slit die equipped with dielectric sensor attached at the outlet of the extruder, 1kHz","ac conductivity, taken from the Fig.4",LCR bridge,225.0,,,
37457-2-1-1,P070013,poly(ethylene oxide),Homopolymer,Polyoxides/ethers/acetals,C2H4O,44.05,,linear,Composite,multiwalled carbon nanotubes (MWNT);wt%;1 (in 4wt% PEO soln. in water),,Mat,"t=1-3micron, void space; about 75%","McCullen, Seth D.; Stevens, Derrick R.; Roberts, Wesley A.; Ojha, Satyajeet S.; Clarke, Laura I.; Gorga, Russell E. , Macromolecules , 40 , 4 , 997-1003 (2007)",,"[PEO] Scientific Polymer Products, Mw=400000, [MWNT] Nano-Lab., produced by plasma enhanced chemical vapor deposition using acetylene and ammonia with an iron catalyst and grown on a mesoporous silica substrate, d=15nm, l=5-20micron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wt% PEO soln. of water containing 1wt% MWNT electrospun on collector bars with 1KV/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,-1.0222763947111522,,Taken from the Fig.7,Keithley model 6430 sub-femtoamp remote source meter,,"t=1-3micron, void space; about 75%",2e-06,-5.698970004336019
37457-3-1-1,P070013,poly(ethylene oxide),Homopolymer,Polyoxides/ethers/acetals,C2H4O,44.05,,linear,Composite,multiwalled carbon nanotubes (MWNT);wt%;3 (in 4wt% PEO soln. in water),,Mat,"t=1-3micron, void space; about 75%","McCullen, Seth D.; Stevens, Derrick R.; Roberts, Wesley A.; Ojha, Satyajeet S.; Clarke, Laura I.; Gorga, Russell E. , Macromolecules , 40 , 4 , 997-1003 (2007)",,"[PEO] Scientific Polymer Products, Mw=400000, [MWNT] Nano-Lab., produced by plasma enhanced chemical vapor deposition using acetylene and ammonia with an iron catalyst and grown on a mesoporous silica substrate, d=15nm, l=5-20micron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wt% PEO soln. of water containing 3wt% MWNT electrospun on collector bars with 1KV/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-1.0,,Taken from the Fig.7,Keithley model 6430 sub-femtoamp remote source meter,,"t=1-3micron, void space; about 75%",2e-06,-5.698970004336019
37458-1-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,"linear,Thermoplastic",Composite,CB;vol%;7.9;,Compressed at 150C and 10MPa for 10min,Sheet,t=2mm,"Dai, Kun; Xu, Xiang-Bin; Li, Zhong-Ming , Polymer , 48 , 3 , 849-859 (2007)",,"[high density PE] 5000S;DaQing Petroleum Chemical Co., MFI=0.9g/10min (190C, 21.6N), [CB] VXC-605;Cabot Co. Ltd., DBP value=148cm3/100g,","PE plasticized at 180C for 5min in internal mixer, then mixed with CB for 2min, subsequently the mixt. extruded at 100-200C via single screw extruder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-12,-12.0,,Taken from the Fig.10,Four-probe method,,t=2mm,0.002,-2.6989700043360187
37477-2-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,,"linear,Thermoplastic,Semiconductive",Composite,SWNT;wt%;0.5;nanotube,,Film,"(max. draw ratio) 3*5mm, (d.c. cond.) rectangular shaped, 50*10*2mm","Li, Weixue; Wang, Qing; Dai, Jianfeng , Bulletin of Materials Science , 29 , 3 , 313-316 (2006)",,"[PMMA] Mw=10000, [SWNT] Quasi-straight single-walled carbon nanotube, impurity=7wt% (TGA), d=1.2-1.5nm, l>2micron","Ground SWNT powders mixed with PMMA in DMF, air-dried for 1h (semidried mixt.)",,,,,,,,,,,,,,,,,,,,,,,,,"SWNTs aligned along the stretching direction and wrapped up with PMMA of 60-100nm diameters;TEM, SWNTs well dispersed in PMMA matrix;SEM",,,,,,,,"The semidried mixt. stretched along one direction at draw ratio of 50, folded along the same direction and stretched repeatedly for 100 times, then compression molded under ca.10MPa at 200C for 5min and air-dried overnight at 20C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-08,-8.0,,"d.c. cond. along the stretching direction, taken from the Fig.3",Multimeter,,"(max. draw ratio) 3*5mm, (d.c. cond.) rectangular shaped, 50*10*2mm",0.002,-2.6989700043360187
37477-3-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,,"linear,Thermoplastic,Semiconductive",Composite,SWNT;wt%;1;nanotube,,Film,"(TGA and max. draw ratio) 3*5mm, (d.c. cond.) rectangular shaped, 50*10*2mm","Li, Weixue; Wang, Qing; Dai, Jianfeng , Bulletin of Materials Science , 29 , 3 , 313-316 (2006)",,"[PMMA] Mw=10000, [SWNT] Quasi-straight single-walled carbon nanotube, impurity=7wt% (TGA), d=1.2-1.5nm, l>2micron","Ground SWNT powders mixed with PMMA in DMF, air-dried for 1h (semidried mixt.)",,,,,,,,,,,,,,,,,,,,,,,,,"SWNTs aligned along the stretching direction and wrapped up with PMMA of 60-100nm diameters;TEM, SWNTs well dispersed in PMMA matrix;SEM",,,,,,,,"The semidried mixt. stretched along one direction at draw ratio of 50, folded along the same direction and stretched repeatedly for 100 times, then compression molded under ca.10MPa at 200C for 5min and air-dried overnight at 20C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e-06,-5.522878745280337,,"d.c. cond. along the stretching direction, taken from the Fig.3",Multimeter,,"(TGA and max. draw ratio) 3*5mm, (d.c. cond.) rectangular shaped, 50*10*2mm",0.002,-2.6989700043360187
37477-4-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,,"linear,Thermoplastic,Semiconductive",Composite,SWNT;wt%;3;nanotube,,Film,"(max. draw ratio) 3*5mm, (d.c. cond.) rectangular shaped, 50*10*2mm","Li, Weixue; Wang, Qing; Dai, Jianfeng , Bulletin of Materials Science , 29 , 3 , 313-316 (2006)",,"[PMMA] Mw=10000, [SWNT] Quasi-straight single-walled carbon nanotube, impurity=7wt% (TGA), d=1.2-1.5nm, l>2micron","Ground SWNT powders mixed with PMMA in DMF, air-dried for 1h (semidried mixt.)",,,,,,,,,,,,,,,,,,,,,,,,,"SWNTs aligned along the stretching direction and wrapped up with PMMA of 60-100nm diameters;TEM, SWNTs well dispersed in PMMA matrix;SEM",,,,,,,,"The semidried mixt. stretched along one direction at draw ratio of 50, folded along the same direction and stretched repeatedly for 100 times, then compression molded under ca.10MPa at 200C for 5min and air-dried overnight at 20C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008,-3.096910013008056,,"d.c. cond. along the stretching direction, taken from the Fig.3",Multimeter,,"(max. draw ratio) 3*5mm, (d.c. cond.) rectangular shaped, 50*10*2mm",0.002,-2.6989700043360187
37477-5-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,,"linear,Thermoplastic,Semiconductive",Composite,SWNT;wt%;8;nanotube,,Film,"(TGA and max. draw ratio) 3*5mm, (d.c. cond.) rectangular shaped, 50*10*2mm","Li, Weixue; Wang, Qing; Dai, Jianfeng , Bulletin of Materials Science , 29 , 3 , 313-316 (2006)",,"[PMMA] Mw=10000, [SWNT] Quasi-straight single-walled carbon nanotube, impurity=7wt% (TGA), d=1.2-1.5nm, l>2micron","Ground SWNT powders mixed with PMMA in DMF, air-dried for 1h (semidried mixt.)",,,,,,,,,,,,,,,,,,,,,,,,,"SWNTs aligned along the stretching direction and wrapped up with PMMA of 60-100nm diameters;TEM, SWNTs well dispersed in PMMA matrix;SEM",,,,,,,,"The semidried mixt. stretched along one direction at draw ratio of 50, folded along the same direction and stretched repeatedly for 100 times, then compression molded under ca.10MPa at 200C for 5min and air-dried overnight at 20C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,-3.0,,"d.c. cond. along the stretching direction, taken from the Fig.3",Multimeter,,"(TGA and max. draw ratio) 3*5mm, (d.c. cond.) rectangular shaped, 50*10*2mm",0.002,-2.6989700043360187
37477-6-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,,"linear,Thermoplastic,Semiconductive",Composite,SWNT;wt%;10;nanotube,,Film,"(max. draw ratio) 3*5mm, (d.c. cond.) rectangular shaped, 50*10*2mm","Li, Weixue; Wang, Qing; Dai, Jianfeng , Bulletin of Materials Science , 29 , 3 , 313-316 (2006)",,"[PMMA] Mw=10000, [SWNT] Quasi-straight single-walled carbon nanotube, impurity=7wt% (TGA), d=1.2-1.5nm, l>2micron","Ground SWNT powders mixed with PMMA in DMF, air-dried for 1h (semidried mixt.)",,,,,,,,,,,,,,,,,,,,,,,,,"SWNTs aligned along the stretching direction and wrapped up with PMMA of 60-100nm diameters;TEM, SWNTs well dispersed in PMMA matrix;SEM",,,,,,,,"The semidried mixt. stretched along one direction at draw ratio of 50, folded along the same direction and stretched repeatedly for 100 times, then compression molded under ca.10MPa at 200C for 5min and air-dried overnight at 20C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,-3.0,,"d.c. cond. along the stretching direction, taken from the Fig.3",Multimeter,,"(max. draw ratio) 3*5mm, (d.c. cond.) rectangular shaped, 50*10*2mm",0.002,-2.6989700043360187
37949-2-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,,"linear,Thermoplastic,Electroconductive",Composite,single-wall carbon nanotube(SWNT);wt%;0.3,Shape of Test Piece,Sheet,t=0.5mm,"Chang, T.-E.; Kisliuk, A.; Rhodes, S. M.; Brittain, W. J.; Sokolov, A. P. , Polymer , 47 , 22 , 7740-7746 (2006)",,"[PS]Mw=ca,280000, obtained from Scientific Polymer Products Inc., [single-wall carbon nanotube(SWNT)]included ca.35wt% residual catalysts(Ni, Y) and 20-30wt% amorphous carbons, obtained from CarboLex Inc., thermally aged in a sand bath at 350C for 4h","SWNT/o-dichlorobenzene(DCB) solution and PS/DCB solution mixed, ultrasonicated, then solvent removed and dried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e-13,-12.522878745280336,"23 [C] , 1Hz","RT, taken from the Fig.4",dielectric measurement,23.0,t=0.5mm,0.0005,-3.3010299956639813
37949-3-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,,"linear,Thermoplastic,Electroconductive",Composite,single-wall carbon nanotube(SWNT);wt%;0.5,Shape of Test Piece,Sheet,t=0.5mm,"Chang, T.-E.; Kisliuk, A.; Rhodes, S. M.; Brittain, W. J.; Sokolov, A. P. , Polymer , 47 , 22 , 7740-7746 (2006)",,"[PS]Mw=ca,280000, obtained from Scientific Polymer Products Inc., [single-wall carbon nanotube(SWNT)]included ca.35wt% residual catalysts(Ni, Y) and 20-30wt% amorphous carbons, obtained from CarboLex Inc., thermally aged in a sand bath at 350C for 4h","SWNT/o-dichlorobenzene(DCB) solution and PS/DCB solution mixed, ultrasonicated, then solvent removed and dried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e-07,-6.221848749616356,"23 [C] , 1Hz","RT, taken from the Fig.4",dielectric measurement,23.0,t=0.5mm,0.0005,-3.3010299956639813
37949-4-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,,"linear,Thermoplastic,Electroconductive",Composite,single-wall carbon nanotube(SWNT);wt%;0.7,Shape of Test Piece,Sheet,t=0.5mm,"Chang, T.-E.; Kisliuk, A.; Rhodes, S. M.; Brittain, W. J.; Sokolov, A. P. , Polymer , 47 , 22 , 7740-7746 (2006)",,"[PS]Mw=ca,280000, obtained from Scientific Polymer Products Inc., [single-wall carbon nanotube(SWNT)]included ca.35wt% residual catalysts(Ni, Y) and 20-30wt% amorphous carbons, obtained from CarboLex Inc., thermally aged in a sand bath at 350C for 4h","SWNT/o-dichlorobenzene(DCB) solution and PS/DCB solution mixed, ultrasonicated, then solvent removed and dried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e-06,-5.096910013008056,"23 [C] , 1Hz","RT, taken from the Fig.4",dielectric measurement,23.0,t=0.5mm,0.0005,-3.3010299956639813
37949-5-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,,"linear,Thermoplastic,Electroconductive",Composite,single-wall carbon nanotube(SWNT);wt%;1.0,Shape of Test Piece,Sheet,t=0.5mm,"Chang, T.-E.; Kisliuk, A.; Rhodes, S. M.; Brittain, W. J.; Sokolov, A. P. , Polymer , 47 , 22 , 7740-7746 (2006)",,"[PS]Mw=ca,280000, obtained from Scientific Polymer Products Inc., [single-wall carbon nanotube(SWNT)]included ca.35wt% residual catalysts(Ni, Y) and 20-30wt% amorphous carbons, obtained from CarboLex Inc., thermally aged in a sand bath at 350C for 4h","SWNT/o-dichlorobenzene(DCB) solution and PS/DCB solution mixed, ultrasonicated, then solvent removed and dried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e-06,-5.096910013008056,"23 [C] , 1Hz","RT, taken from the Fig.4",dielectric measurement,23.0,t=0.5mm,0.0005,-3.3010299956639813
37949-6-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,,"linear,Thermoplastic,Electroconductive",Composite,single-wall carbon nanotube(SWNT);wt%;2.0,Shape of Test Piece,Sheet,t=0.5mm,"Chang, T.-E.; Kisliuk, A.; Rhodes, S. M.; Brittain, W. J.; Sokolov, A. P. , Polymer , 47 , 22 , 7740-7746 (2006)",,"[PS]Mw=ca,280000, obtained from Scientific Polymer Products Inc., [single-wall carbon nanotube(SWNT)]included ca.35wt% residual catalysts(Ni, Y) and 20-30wt% amorphous carbons, obtained from CarboLex Inc., thermally aged in a sand bath at 350C for 4h","SWNT/o-dichlorobenzene(DCB) solution and PS/DCB solution mixed, ultrasonicated, then solvent removed and dried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e-06,-5.096910013008056,"23 [C] , 1Hz","RT, taken from the Fig.4",dielectric measurement,23.0,t=0.5mm,0.0005,-3.3010299956639813
37949-7-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,,"linear,Thermoplastic,Electroconductive",Composite,single-wall carbon nanotube(SWNT);wt%;0.25,Shape of Test Piece,Sheet,t=0.5mm,"Chang, T.-E.; Kisliuk, A.; Rhodes, S. M.; Brittain, W. J.; Sokolov, A. P. , Polymer , 47 , 22 , 7740-7746 (2006)",,"[PS]Mw=ca,280000, obtained from Scientific Polymer Products Inc., [single-wall carbon nanotube(SWNT)]included ca.35wt% residual catalysts(Ni, Y) and 20-30wt% amorphous carbons, obtained from CarboLex Inc.","SWNT/o-dichlorobenzene(DCB) solution and PS/DCB solution mixed, ultrasonicated, then solvent removed and dried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-16,-16.0,23 [C],"RT, dc conductivity, extrapolated to zero frequency, taken from the Fig.5",dielectric measurement,23.0,t=0.5mm,0.0005,-3.3010299956639813
37949-8-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,,"linear,Thermoplastic,Electroconductive",Composite,single-wall carbon nanotube(SWNT);wt%;0.5,Shape of Test Piece,Sheet,t=0.5mm,"Chang, T.-E.; Kisliuk, A.; Rhodes, S. M.; Brittain, W. J.; Sokolov, A. P. , Polymer , 47 , 22 , 7740-7746 (2006)",,"[PS]Mw=ca,280000, obtained from Scientific Polymer Products Inc., [single-wall carbon nanotube(SWNT)]included ca.35wt% residual catalysts(Ni, Y) and 20-30wt% amorphous carbons, obtained from CarboLex Inc.","SWNT/o-dichlorobenzene(DCB) solution and PS/DCB solution mixed, ultrasonicated, then solvent removed and dried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-14,-13.69897000433602,23 [C],"RT, dc conductivity, extrapolated to zero frequency, taken from the Fig.5",dielectric measurement,23.0,t=0.5mm,0.0005,-3.3010299956639813
37949-9-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,,"linear,Thermoplastic,Electroconductive",Composite,single-wall carbon nanotube(SWNT);wt%;1.0,Shape of Test Piece,Sheet,t=0.5mm,"Chang, T.-E.; Kisliuk, A.; Rhodes, S. M.; Brittain, W. J.; Sokolov, A. P. , Polymer , 47 , 22 , 7740-7746 (2006)",,"[PS]Mw=ca,280000, obtained from Scientific Polymer Products Inc., [single-wall carbon nanotube(SWNT)]included ca.35wt% residual catalysts(Ni, Y) and 20-30wt% amorphous carbons, obtained from CarboLex Inc.","SWNT/o-dichlorobenzene(DCB) solution and PS/DCB solution mixed, ultrasonicated, then solvent removed and dried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-10,-9.69897000433602,23 [C],"RT, dc conductivity, extrapolated to zero frequency, taken from the Fig.5",dielectric measurement,23.0,t=0.5mm,0.0005,-3.3010299956639813
37949-10-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,,"linear,Thermoplastic,Electroconductive",Composite,single-wall carbon nanotube(SWNT);wt%;1.5,Shape of Test Piece,Sheet,t=0.5mm,"Chang, T.-E.; Kisliuk, A.; Rhodes, S. M.; Brittain, W. J.; Sokolov, A. P. , Polymer , 47 , 22 , 7740-7746 (2006)",,"[PS]Mw=ca,280000, obtained from Scientific Polymer Products Inc., [single-wall carbon nanotube(SWNT)]included ca.35wt% residual catalysts(Ni, Y) and 20-30wt% amorphous carbons, obtained from CarboLex Inc.","SWNT/o-dichlorobenzene(DCB) solution and PS/DCB solution mixed, ultrasonicated, then solvent removed and dried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e-08,-7.522878745280337,23 [C],"RT, dc conductivity, extrapolated to zero frequency, taken from the Fig.5",dielectric measurement,23.0,t=0.5mm,0.0005,-3.3010299956639813
